Function Name,Exclusive Samples,Exclusive Samples %,Instruction Address,Source Line Begin,Source Character Begin,Source Line End,Source Character End,
"[wow64cpu.dll]",127,26.57,0x72C71923,0,0,0,0,
"[w3tp.dll]",49,10.25,0x620C20A7,0,0,0,0,
"[klhkum.dll]",41,8.58,0x00BD5519,0,0,0,0,
"[iisexpress.exe]",25,5.23,0x013079BF,0,0,0,0,
"[wow64cpu.dll]",18,3.77,0x72C71E1B,0,0,0,0,
"[ntdll.dll]",17,3.56,0x7FF8260A05C4,0,0,0,0,
"[wow64cpu.dll]",16,3.35,0x72C71A93,0,0,0,0,
"[wow64cpu.dll]",13,2.72,0x72C71BC3,0,0,0,0,
"[KernelBase.dll]",10,2.09,0x76C610B4,0,0,0,0,
"[nativrd2.dll]",10,2.09,0x0F1402E9,0,0,0,0,
"[ntdll.dll]",9,1.88,0x7773373C,0,0,0,0,
"[wow64cpu.dll]",8,1.67,0x72C71B3A,0,0,0,0,
"[msvcrt.dll]",7,1.46,0x7721FDBA,0,0,0,0,
"[msvcrt.dll]",6,1.26,0x77207250,0,0,0,0,
"[wow64win.dll]",6,1.26,0x72BF6901,0,0,0,0,
"[xmllite.dll]",5,1.05,0x6EC4DFCB,0,0,0,0,
"[aspnetcore.dll]",4,0.84,0x77FDC473,0,0,0,0,
"[kernel32.dll]",4,0.84,0x760A8654,0,0,0,0,
"[KernelBase.dll]",3,0.63,0x76C59267,0,0,0,0,
"[KernelBase.dll]",3,0.63,0x76C6D323,0,0,0,0,
"[klhkum.dll]",3,0.63,0x00BD15E7,0,0,0,0,
"[msvcrt.dll]",3,0.63,0x77249AAD,0,0,0,0,
"[ntdll.dll]",3,0.63,0x7FF82606D348,0,0,0,0,
"[wow64.dll]",3,0.63,0x72B9BEC2,0,0,0,0,
"[apphelp.dll]",2,0.42,0x71E5228D,0,0,0,0,
"[apphelp.dll]",2,0.42,0x71E58452,0,0,0,0,
"[KernelBase.dll]",2,0.42,0x76C6190A,0,0,0,0,
"[KernelBase.dll]",2,0.42,0x76C6DC0C,0,0,0,0,
"[msvcrt.dll]",2,0.42,0x77207065,0,0,0,0,
"[ntdll.dll]",2,0.42,0x7FF82607928E,0,0,0,0,
"[rpcrt4.dll]",2,0.42,0x770D5874,0,0,0,0,
"[windows.storage.dll]",2,0.42,0x755FD280,0,0,0,0,
"[wow64cpu.dll]",2,0.42,0x72C71370,0,0,0,0,
"[advapi32.dll]",1,0.21,0x77075081,0,0,0,0,
"[apphelp.dll]",1,0.21,0x71E521FB,0,0,0,0,
"[apphelp.dll]",1,0.21,0x71E58543,0,0,0,0,
"[authmap.dll]",1,0.21,0x54A07810,0,0,0,0,
"[clbcatq.dll]",1,0.21,0x775ADB3B,0,0,0,0,
"[combase.dll]",1,0.21,0x76E31C14,0,0,0,0,
"[cryptbase.dll]",1,0.21,0x740E2A10,0,0,0,0,
"[dnsapi.dll]",1,0.21,0x72CAFA2E,0,0,0,0,
"[gdi32full.dll]",1,0.21,0x75B6A8AE,0,0,0,0,
"[iertutil.dll]",1,0.21,0x699B299C,0,0,0,0,
"[iisfreb.dll]",1,0.21,0x542EA0AB,0,0,0,0,
"[kernel32.dll]",1,0.21,0x760A865B,0,0,0,0,
"[KernelBase.dll]",1,0.21,0x76C58632,0,0,0,0,
"[KernelBase.dll]",1,0.21,0x76C5985D,0,0,0,0,
"[KernelBase.dll]",1,0.21,0x76C5A886,0,0,0,0,
"[KernelBase.dll]",1,0.21,0x76C5EF41,0,0,0,0,
"[KernelBase.dll]",1,0.21,0x76C5F00A,0,0,0,0,
"[KernelBase.dll]",1,0.21,0x76C5F1BF,0,0,0,0,
"[KernelBase.dll]",1,0.21,0x76C60ABA,0,0,0,0,
"[KernelBase.dll]",1,0.21,0x76C60CEC,0,0,0,0,
"[KernelBase.dll]",1,0.21,0x76C6103F,0,0,0,0,
"[KernelBase.dll]",1,0.21,0x76C67203,0,0,0,0,
"[KernelBase.dll]",1,0.21,0x76C72D94,0,0,0,0,
"[KernelBase.dll]",1,0.21,0x76C74429,0,0,0,0,
"[KernelBase.dll]",1,0.21,0x76C75EAF,0,0,0,0,
"[KernelBase.dll]",1,0.21,0x76C76363,0,0,0,0,
"[KernelBase.dll]",1,0.21,0x76C76567,0,0,0,0,
"[KernelBase.dll]",1,0.21,0x76C76FDC,0,0,0,0,
"[KernelBase.dll]",1,0.21,0x76C77B86,0,0,0,0,
"[KernelBase.dll]",1,0.21,0x76C80424,0,0,0,0,
"[KernelBase.dll]",1,0.21,0x76C82E98,0,0,0,0,
"[klhkum.dll]",1,0.21,0x00BD155E,0,0,0,0,
"[msvcrt.dll]",1,0.21,0x77222637,0,0,0,0,
"[msvcrt.dll]",1,0.21,0x77235FD8,0,0,0,0,
"[msvcrt.dll]",1,0.21,0x77247B10,0,0,0,0,
"[msvcrt.dll]",1,0.21,0x77247B6C,0,0,0,0,
"[msvcrt.dll]",1,0.21,0x77247C48,0,0,0,0,
"[msvcrt.dll]",1,0.21,0x77247C64,0,0,0,0,
"[msvcrt.dll]",1,0.21,0x77247CAC,0,0,0,0,
"[msvcrt.dll]",1,0.21,0x77247F20,0,0,0,0,
"[msvcrt.dll]",1,0.21,0x772482F4,0,0,0,0,
"[msvcrt.dll]",1,0.21,0x77249491,0,0,0,0,
"[msvcrt.dll]",1,0.21,0x772495AA,0,0,0,0,
"[msvcrt.dll]",1,0.21,0x7724995B,0,0,0,0,
"[msvcrt.dll]",1,0.21,0x77249A95,0,0,0,0,
"[nsi.dll]",1,0.21,0x76D51936,0,0,0,0,
"[nsi.dll]",1,0.21,0x76D51E2B,0,0,0,0,
"[ntdll.dll]",1,0.21,0x7FF826015C1B,0,0,0,0,
"[oleaut32.dll]",1,0.21,0x76FC922B,0,0,0,0,
"[propsys.dll]",1,0.21,0x721419FA,0,0,0,0,
"[rewrite.dll]",1,0.21,0x519C0825,0,0,0,0,
"[rpcrt4.dll]",1,0.21,0x770D49BE,0,0,0,0,
"[rpcrt4.dll]",1,0.21,0x770D7B7A,0,0,0,0,
"[rpcrt4.dll]",1,0.21,0x770D9134,0,0,0,0,
"[SHCore.dll]",1,0.21,0x75482FAB,0,0,0,0,
"[ucrtbase.dll]",1,0.21,0x772AB5D4,0,0,0,0,
"[webio.dll]",1,0.21,0x69475E63,0,0,0,0,
"[webio.dll]",1,0.21,0x694786E0,0,0,0,0,
"[webio.dll]",1,0.21,0x694889EE,0,0,0,0,
"[windows.storage.dll]",1,0.21,0x7566D369,0,0,0,0,
"[windows.storage.dll]",1,0.21,0x7566E2AF,0,0,0,0,
"[windows.storage.dll]",1,0.21,0x756C3FDA,0,0,0,0,
"[winhttp.dll]",1,0.21,0x6E21E4C3,0,0,0,0,
"[wow64cpu.dll]",1,0.21,0x72C7184E,0,0,0,0,
"[wow64cpu.dll]",1,0.21,0x72C71AD6,0,0,0,0,
"[xmllite.dll]",1,0.21,0x6EC4DAE6,0,0,0,0,
"[xmllite.dll]",1,0.21,0x6EC4E150,0,0,0,0,
